Replicate,Day,Well_Num,Culture,Hgui_Alive_Num,Hgui_Dead_Num,Scer_Alive_Num,Scer_Dead_Num,Total_Cells,Hgui_Alive_Total_Alive,Scer_Alive_Total_Alive,Hgui_Dead_Total_Hgui,Scer_Dead_Total_Scer,Hgui_Alive_Total_Hgui,Scer_Alive_Total_Scer,AliveRatio_Hgui_Scer
2,5,D4,3911,10794,9977,5317,3912,30000,0.669977034,0.330022966,0.480333157,0.423881244,0.519666843,0.576118756,2.030092157
2,5,D6,3824,10407,13717,2472,3404,30000,0.808059632,0.191940368,0.56860388,0.57930565,0.43139612,0.42069435,4.209951456
2,5,E1,3920,4750,18078,40,7132,30000,0.991649269,0.008350731,0.791922201,0.994422755,0.208077799,0.005577245,118.75
2,5,E3,3842,2639,18659,2327,6375,30000,0.531413613,0.468586387,0.876091652,0.732590209,0.123908348,0.267409791,1.134078212
2,5,E5,3324m,4384,22739,1096,1781,30000,0.8,0.2,0.838365962,0.619047619,0.161634038,0.380952381,4
2,5,F2,3324m,2987,21086,1900,4027,30000,0.611213423,0.388786577,0.875919079,0.679433103,0.124080921,0.320566897,1.572105263
2,5,F4,3905,14536,13862,695,907,30000,0.954369378,0.045630622,0.488132967,0.566167291,0.511867033,0.433832709,20.91510791
2,5,F6,3822,4847,17915,3505,3733,30000,0.580340038,0.419659962,0.787057376,0.515750207,0.212942624,0.484249793,1.382881598
2,5,G1,3973,13245,12814,2234,1707,30000,0.855675431,0.144324569,0.491730304,0.433138797,0.508269696,0.566861203,5.928827216
2,5,G3,3850,14625,14452,305,618,30000,0.979571333,0.020428667,0.49702514,0.669555796,0.50297486,0.330444204,47.95081967
2,5,G5,3324a,803,1265,17385,10547,30000,0.044149989,0.955850011,0.611702128,0.377595589,0.388297872,0.622404411,0.046189244
2,5,H1,3850,15361,14477,5,157,30000,0.999674606,0.000325394,0.485186675,0.969135802,0.514813325,0.030864198,3072.2
2,5,H2,3984,2724,26131,85,1060,30000,0.969740121,0.030259879,0.90559695,0.925764192,0.09440305,0.074235808,32.04705882
2,5,H3,b,482,1141,217,160,2000,0.689556509,0.310443491,0.7030191,0.424403183,0.2969809,0.575596817,2.221198157
2,5,H4,3852,19197,7783,104,2916,30000,0.994611678,0.005388322,0.288472943,0.965562914,0.711527057,0.034437086,184.5865385
2,5,H6,3821,2789,15271,7145,4795,30000,0.28075297,0.71924703,0.845570321,0.40159129,0.154429679,0.59840871,0.390342897
3,5,A1,3822,15642,11358,1730,1270,30000,0.90041446,0.09958554,0.420666667,0.423333333,0.579333333,0.576666667,9.041618497
3,5,A3,3973,2510,14612,8309,4569,30000,0.231999261,0.768000739,0.853404976,0.354791117,0.146595024,0.645208883,0.30208208
3,5,A5,3850,3900,25891,107,102,30000,0.973296731,0.026703269,0.86908798,0.488038278,0.13091202,0.511961722,36.44859813
3,5,A6,3821,4180,20735,3075,2010,30000,0.576154376,0.423845624,0.832229581,0.395280236,0.167770419,0.604719764,1.359349593
3,5,B2,3920,4758,15501,55,9686,30000,0.988572616,0.011427384,0.765141419,0.994353762,0.234858581,0.005646238,86.50909091
3,5,B4,3842,5286,6363,12796,5555,30000,0.292334919,0.707665081,0.546227144,0.302708299,0.453772856,0.697291701,0.413097843
3,5,B6,3920,3353,5003,1457,20187,30000,0.697089397,0.302910603,0.59873145,0.932683423,0.40126855,0.067316577,2.301304049
3,5,C1,3824,3304,20644,2942,3110,30000,0.528978546,0.471021454,0.862034408,0.513879709,0.137965592,0.486120291,1.123045547
3,5,C3,3984,5086,18670,127,6117,30000,0.975637829,0.024362171,0.785906718,0.979660474,0.214093282,0.020339526,40.04724409
3,5,C5,3852,2162,11892,62,15884,30000,0.972122302,0.027877698,0.846164793,0.996111878,0.153835207,0.003888122,34.87096774
3,5,D2,3911,15474,10779,2102,1645,30000,0.880405098,0.119594902,0.410581648,0.439017881,0.589418352,0.560982119,7.361560419
