Replicate,Day,Well_Num,Culture,Scer_Dead_Num,Hgui_Dead_Num,Hgui_Alive_Num,Scer_Alive_Num,Total_Cells,Hgui_totalprop,Scer_totalprop,norm_Hgui_totalprop
1,9,A1,3324a,16172,1461,556,11811,30000,0.06723333333333334,0.9327666666666666,0
1,9,D4,3324a,14449,1635,1283,12633,30000,0.09726666666666667,0.9027333333333334,0.03353057199211045
1,9,F2,3850,385,18040,10848,727,30000,0.9629333333333333,0.037066666666666664,1
1,9,G5,3850,4905,17742,6714,639,30000,0.8152,0.1848,0.8350638234527931
2,9,D2,3324a,15685,2877,1294,10144,30000,0.13903333333333334,0.8609666666666667,0.02739881764438382
2,9,G3,3850,10584,12094,6846,476,30000,0.6313333333333333,0.36866666666666664,0.5870850386539336
2,9,G5,3324a,15171,2227,1221,11381,30000,0.11493333333333333,0.8850666666666667,0
2,9,H1,3850,156,17064,12772,8,30000,0.9945333333333334,0.0054666666666666665,1
1,5,A1,3324a,8988,741,301,19970,30000,0.03473333333333333,0.9652666666666667,0
1,5,A3,3911,954,10763,17586,697,30000,0.9449666666666666,0.05503333333333333,0.953090642560469
1,5,A5,3824,2163,20106,7292,439,30000,0.9132666666666667,0.08673333333333333,0.9198980838365153
1,5,B2,3905,1981,22184,4980,855,30000,0.9054666666666666,0.09453333333333333,0.9117308296394541
1,5,B4,3324m,39240,378841,54130,8347,480558,0.9009755326100075,0.09902446738999247,0.9070282356043498
1,5,B6,3842,472,21394,7941,193,30000,0.9778333333333333,0.022166666666666668,0.9875047991344107
1,5,C1,3821,1855,14559,12847,739,30000,0.9135333333333333,0.08646666666666666,0.9201773062022267
1,5,C5,3905,367,9666,19613,354,30000,0.9759666666666666,0.024033333333333334,0.9855502425744301
1,5,D4,3324a,7724,8725,3123,10428,30000,0.39493333333333336,0.6050666666666666,0.37715961048479985
1,5,D6,3911,342,7236,22326,96,30000,0.9854,0.0146,0.9954277337614743
1,5,E1,3822,3348,9621,15088,1943,30000,0.8236333333333333,0.17636666666666667,0.8260444661617395
1,5,E3,3973,5220,18366,4409,2005,30000,0.7591666666666667,0.24083333333333334,0.758542459250986
1,5,F2,3850,6953,114344,151738,373,273408,0.9732048806179775,0.026795119382022472,0.9826584209465402
1,5,F4,3821,685,7504,20764,1047,30000,0.9422666666666667,0.05773333333333333,0.9502635161076403
1,5,G1,3824,2651,22095,4976,278,30000,0.9023666666666667,0.09763333333333334,0.908484869638058
1,5,G5,3850,288,19798,9895,19,30000,0.9897666666666667,0.010233333333333334,1
1,5,H1,3324m,1556,9776,18131,537,30000,0.9302333333333334,0.06976666666666667,0.9376636068549091
1,5,H2,3842,314,5042,24140,504,30000,0.9727333333333333,0.027266666666666668,0.9821646713901784
1,5,H4,3822,3735,10632,13368,2265,30000,0.8,0.2,0.8012983840005585
1,5,H6,3973,284,9166,20303,247,30000,0.9823,0.0177,0.9921817737600781
2,5,A1,3905,3948,17448,4338,4266,30000,0.7262,0.2738,0.71004681310767
2,5,A3,3822,2939,20832,4451,1778,30000,0.8427666666666667,0.15723333333333334,0.8359740727403673
2,5,A5,3973,1738,13111,13776,1375,30000,0.8962333333333333,0.10376666666666666,0.8937342455887648
2,5,B2,3821,1972,11583,14299,2146,30000,0.8627333333333334,0.13726666666666668,0.8575441123514584
2,5,B6,3842,3634,20277,3515,2574,30000,0.7930666666666667,0.20693333333333333,0.7822830392509903
2,5,C1,3911,1668,24187,3526,619,30000,0.9237666666666666,0.07623333333333333,0.9234785740007201
2,5,D2,3324a,10882,2822,1723,14573,30000,0.1515,0.8485,0.08919697515304284
2,5,D4,3911,3912,9977,10794,5317,30000,0.6923666666666667,0.3076333333333333,0.6734965790421318
2,5,D6,3824,3404,13717,10407,2472,30000,0.8041333333333334,0.19586666666666666,0.7942383867482895
2,5,E3,3842,6375,18659,2639,2327,30000,0.7099333333333333,0.29006666666666664,0.6924738926899532
2,5,E5,3324m,1781,22739,4384,1096,30000,0.9041,0.0959,0.9022326251350378
2,5,F2,3324m,4027,21086,2987,1900,30000,0.8024333333333333,0.19756666666666667,0.7924018725243068
2,5,F4,3905,907,13862,14536,695,30000,0.9466,0.0534,0.9481454807346057
2,5,F6,3822,3733,17915,4847,3505,30000,0.7587333333333334,0.24126666666666666,0.7451926539431041
2,5,G1,3973,1707,12814,13245,2234,30000,0.8686333333333334,0.13136666666666666,0.8639178970111632
2,5,G3,3850,618,14452,14625,305,30000,0.9692333333333333,0.030766666666666668,0.972596326971552
2,5,G5,3324a,10547,1265,803,17385,30000,0.06893333333333333,0.9310666666666667,0
2,5,H1,3850,157,14477,15361,5,30000,0.9946,0.0054,1
2,5,H6,3821,4795,15271,2789,7145,30000,0.602,0.398,0.5758732445084623
3,5,A1,3822,1270,11358,15642,1730,30000,0.9,0.1,0.8955765047135605
3,5,A5,3850,102,25891,3900,107,30000,0.9930333333333333,0.006966666666666667,0.9967730239303844
3,5,A6,3821,2010,20735,4180,3075,30000,0.8305,0.1695,0.8199782451051487
3,5,B4,3842,5555,6363,5286,12796,30000,0.3883,0.6117,0.33897751994198694
3,5,C1,3824,3110,20644,3304,2942,30000,0.7982666666666667,0.20173333333333332,0.7849166062364032
3,5,D2,3911,1645,10779,15474,2102,30000,0.8751,0.1249,0.8684916606236404
3,5,D4,3824,33,482,23164,6321,30000,0.7882,0.2118,0.7739666424945613
3,5,D6,3973,1099,24357,3922,622,30000,0.9426333333333333,0.05736666666666667,0.9419506889050037
3,5,E1,3842,4060,17861,2736,5343,30000,0.6865666666666667,0.31343333333333334,0.6634155184916606
3,5,E3,3324m,2001,4045,7354,16600,30000,0.3799666666666667,0.6200333333333333,0.32991298042059464
3,5,E5,3905,5318,8415,7787,8480,30000,0.5400666666666667,0.45993333333333336,0.5040609137055838
3,5,F2,3905,6123,17085,18448,10138,51794,0.6860447156041241,0.31395528439587594,0.6628477689675026
3,5,F4,3822,2929,18458,3471,5142,30000,0.7309666666666667,0.26903333333333335,0.7117113850616389
3,5,G1,3850,58,10669,19211,62,30000,0.996,0.004,1
3,5,G3,3324a,7981,1457,843,19719,30000,0.07666666666666666,0.9233333333333333,0
3,5,G5,3911,2538,12465,11975,3022,30000,0.81466666666666665,0.18533333333333332,0.8027556200145033
3,5,H1,3324a,10586,1593,1421,16400,30000,0.10046666666666666,0.8995333333333333,0.02588832487309645
3,5,H4,3821,4152,14208,4859,6781,30000,0.6355666666666666,0.36443333333333333,0.6079405366207397
3,5,H6,3324m,4312,8871,9349,7468,30000,0.6073333333333333,0.39266666666666666,0.5772298767222624
1,6,A1,3324a,11639,2639,1077,14645,30000,0.12386666666666667,0.8761333333333333,0
1,6,A3,3911,2134,13689,10211,3966,30000,0.7966666666666666,0.20333333333333334,0.7803538571505219
1,6,A5,3824,5034,13539,7324,4103,30000,0.6954333333333333,0.30456666666666665,0.6629373557550535
1,6,B2,3905,2166,18351,6586,2897,30000,0.8312333333333334,0.16876666666666668,0.8204463536757445
1,6,B4,3324m,5829,32469,13045,12349,63692,0.7145952395905294,0.2854047604094706,0.6851624857463728
1,6,B6,3842,3691,10305,5751,10253,30000,0.5352,0.4648,0.4770891100494174
1,6,C1,3821,3776,6909,5895,13420,30000,0.4268,0.5732,0.3513602781303975
1,6,C5,3905,646,11191,16815,1348,30000,0.9335333333333333,0.06646666666666666,0.9391000391491368
1,6,D4,3324a,9812,2299,1988,15901,30000,0.1429,0.8571,0.022076003390455214
1,6,D6,3911,1252,11575,15703,1470,30000,0.9092666666666667,0.09073333333333333,0.9109541013763672
1,6,E1,3822,5980,9670,8493,5857,30000,0.6054333333333334,0.3945666666666667,0.5585499491802215
1,6,E3,3973,6897,16666,2745,3692,30000,0.6470333333333333,0.35296666666666665,0.6068001282192549
1,6,F2,3850,1273,54543,45471,143,101430,0.9860396332446022,0.013960366755397812,1
1,6,F4,3821,2625,8886,11806,6683,30000,0.6897333333333333,0.3102666666666667,0.6563261533386474
1,6,G1,3824,1344,21739,5163,1754,30000,0.8967333333333334,0.10326666666666667,0.8964171884607611
1,6,G5,3850,1065,17965,10734,236,30000,0.9566333333333333,0.043366666666666664,0.965892806836677
1,6,H1,3324m,1187,9110,13659,6044,30000,0.7589666666666667,0.24103333333333332,0.7366271323963979
1,6,H2,3842,2415,7054,16085,4446,30000,0.7713,0.2287,0.7509320732973933
1,6,H4,3822,6203,5775,5391,12631,30000,0.3722,0.6278,0.28803191814166607
1,6,H6,3973,2097,7144,13116,7643,30000,0.6753333333333333,0.32466666666666666,0.6396241682866743
2,6,A1,3905,5079,12687,2197,10037,30000,0.4961333333333333,0.5038666666666667,0.45207790778711077
2,6,A3,3822,1523,25573,2211,693,30000,0.9261333333333334,0.07386666666666666,0.9252466713127683
2,6,A5,3973,4687,3325,2351,19637,30000,0.1892,0.8108,0.11433077797747865
2,6,B2,3821,6682,5198,3680,14440,30000,0.2959333333333333,0.7040666666666666,0.23177933462935116
2,6,B6,3842,2311,23850,2711,1128,30000,0.8853666666666666,0.11463333333333334,0.880387338150607
2,6,C3,3824,6151,2951,2006,18892,30000,0.16523333333333334,0.8347666666666667,0.08795803836701759
2,6,D2,3324a,12926,1632,927,14515,30000,0.0853,0.9147,0
2,6,D4,3911,4127,7667,8651,9555,30000,0.5439333333333334,0.4560666666666667,0.504676668011591
2,6,D6,3824,5196,6226,3433,15145,30000,0.3219666666666667,0.6780333333333334,0.26042621868466426
2,6,E3,3842,12871,12800,1859,2470,30000,0.4886333333333333,0.5113666666666666,0.44382496423724466
2,6,E5,3324m,12036,9222,2113,6629,30000,0.37783333333333335,0.6221666666666666,0.3219014781938892
2,6,F2,3324m,2709,22476,3224,1591,30000,0.8566666666666667,0.14333333333333334,0.8488060741664527
2,6,F4,3905,5116,5939,4847,14098,30000,0.3595333333333333,0.6404666666666666,0.3017642959322158
2,6,F6,3822,6443,16826,2307,4424,30000,0.6377666666666667,0.36223333333333335,0.6079301617576937
2,6,G1,3973,3020,7580,7568,11832,30000,0.5049333333333333,0.49506666666666665,0.46176136155228703
2,6,G3,3850,165,16175,13616,44,30000,0.9930333333333333,0.006966666666666667,0.998862927777574
2,6,G5,3324a,11888,1475,1121,15516,30000,0.08653333333333334,0.9134666666666666,0.0013571507170890985
2,6,H1,3850,159,14683,15139,19,30000,0.9940666666666667,0.005933333333333333,1
2,6,H6,3821,6602,9153,1519,12726,30000,0.35573333333333335,0.6442666666666667,0.297582804533617
3,6,A1,3822,622,11172,16261,1945,30000,0.9144333333333333,0.08556666666666667,0.9095172313508798
3,6,A3,3973,1324,24183,2936,1557,30000,0.9039666666666667,0.09603333333333333,0.8981023702195725
3,6,A5,3850,2876,4961,5038,17125,30000,0.3333,0.6667,0.2757379671368329
3,6,A6,3821,2590,20111,3466,3833,30000,0.7859,0.2141,0.7693398284135525
3,6,B4,3842,3399,7018,7014,12569,30000,0.46773333333333333,0.5322666666666667,0.4223498618583685
3,6,C1,3824,1530,12276,9957,6237,30000,0.7411,0.2589,0.7204813145266832
3,6,D2,3911,1307,10973,12596,5124,30000,0.7856333333333333,0.21436666666666668,0.7690490039261306
3,6,D4,3824,1354,24302,2429,1915,30000,0.8910333333333333,0.10896666666666667,0.8839973825796132
3,6,D6,3973,664,26523,2611,202,30000,0.9711333333333333,0.028866666666666665,0.9713537879889487
3,6,E1,3842,3187,11201,3140,12472,30000,0.4780333333333333,0.5219666666666667,0.4335829576850371
3,6,E3,3324m,5230,6713,5719,12338,30000,0.4144,0.5856,0.3641849643740003
3,6,E5,3905,5038,6168,4416,14378,30000,0.3528,0.6472,0.29700450777955506
3,6,F2,3905,3829,16841,14881,9058,44609,0.711112107422269,0.28888789257773095,0.6877767639475088
3,6,F4,3822,737,24389,4490,384,30000,0.9626333333333333,0.037366666666666666,0.9620837574523775
3,6,G1,3850,43,11189,18733,35,30000,0.9974,0.0026,1
3,6,G3,3324a,11696,1691,723,15890,30000,0.08046666666666667,0.9195333333333333,0
3,6,G5,3911,1317,13424,11343,3916,30000,0.8255666666666667,0.17443333333333333,0.8125999709175513
3,6,H1,3324a,13295,1928,1361,13416,30000,0.10963333333333333,0.8903666666666666,0.031808928311763844
3,6,H4,3821,1698,21980,3686,2636,30000,0.8555333333333334,0.14446666666666666,0.8452813726915807
3,6,H6,3324m,4361,4742,5308,15589,30000,0.335,0.665,0.2775919732441472
1,7,A1,3324a,12579,1691,419,15311,30000,0.07033333333333333,0.9296666666666666,0
1,7,A3,3911,1012,16814,11085,1089,30000,0.9299666666666667,0.07003333333333334,0.9328188789600637
1,7,A5,3824,2192,23522,3346,940,30000,0.8956,0.1044,0.895526379669365
1,7,B2,3905,5403,11297,2515,10785,30000,0.4604,0.5396,0.4232752926282781
1,7,B4,3324m,12557,120836,20313,9224,162930,0.8663168231755969,0.13368317682440312,0.8637501570422034
1,7,B6,3842,2729,11569,6142,9560,30000,0.5903666666666667,0.40963333333333335,0.5643067715171567
1,7,C1,3821,3148,10453,11154,5245,30000,0.7202333333333333,0.27976666666666666,0.7052297368290495
1,7,D4,3324a,12899,1736,661,14704,30000,0.0799,0.9201,0.010381132198283698
1,7,D6,3911,844,9883,17537,1736,30000,0.914,0.086,0.9154928778347051
1,7,E1,3822,3507,11248,11611,3634,30000,0.7619666666666667,0.23803333333333335,0.7505160696243499
1,7,E3,3973,3595,19860,3328,3217,30000,0.7729333333333334,0.22706666666666667,0.7624163919004312
1,7,F2,3850,772,55681,39929,11,96393,0.9918770035168529,0.008122996483147116,1
1,7,F4,3821,2695,6348,9188,11769,30000,0.5178666666666667,0.48213333333333336,0.48563442820263736
1,7,G1,3824,1759,22247,4127,1867,30000,0.8791333333333333,0.12086666666666666,0.8776578106590788
1,7,G5,3850,332,19823,9823,22,30000,0.9882,0.0118,0.9960099519579786
1,7,H1,3324m,2283,3310,3698,20709,30000,0.2336,0.7664,0.17716650002506462
1,7,H2,3842,1892,6256,17134,4718,30000,0.7796666666666666,0.22033333333333333,0.7697229727507912
1,7,H4,3822,4142,6773,7256,11829,30000,0.46763333333333335,0.5323666666666667,0.43112444136356576
1,7,H6,3973,2422,8049,14015,5514,30000,0.7354666666666667,0.26453333333333334,0.7217599717231808
2,7,A1,3905,3943,7284,1508,17265,30000,0.29306666666666664,0.7069333333333333,0.2244762466804367
2,7,A3,3822,2638,20419,2460,4483,30000,0.7626333333333334,0.23736666666666667,0.7440616701091769
2,7,A5,3973,80,26528,3377,15,30000,0.9968333333333333,0.0031666666666666666,1.00320891118324
2,7,B2,3821,2549,5529,7189,14733,30000,0.42393333333333333,0.5760666666666666,0.36928297432871054
2,7,B6,3842,1889,23595,2816,1700,30000,0.8803666666666666,0.11963333333333333,0.8743360873413987
2,7,C1,3911,1719,23183,3147,1951,30000,0.8776666666666667,0.12233333333333334,0.8713484803776926
2,7,C3,3824,1866,9327,9468,9339,30000,0.6265,0.3735,0.5934272646798466
2,7,D2,3324a,968,655,494,505,2622,0.43821510297482835,0.5617848970251716,0.3850860537490724
2,7,D4,3911,3623,2817,2548,21012,30000,0.17883333333333334,0.8211666666666667,0.09807465329005607
2,7,D6,3824,4164,4483,2148,19205,30000,0.22103333333333333,0.7789666666666667,0.14476984361168488
2,7,E3,3842,4961,21216,2248,1575,30000,0.7821333333333333,0.21786666666666665,0.7656388315137208
2,7,E5,3324m,5146,18632,2598,3624,30000,0.7076666666666667,0.29233333333333333,0.6832398937739746
2,7,F2,3324m,3866,15124,2441,8569,30000,0.5855,0.4145,0.5480598996754206
2,7,F4,3905,2694,6877,5424,15005,30000,0.41003333333333336,0.5899666666666666,0.35390233107111246
2,7,F6,3822,7227,12201,1889,8683,30000,0.4696666666666667,0.5303333333333333,0.4198878725287696
2,7,G1,3973,2982,6676,5859,14483,30000,0.41783333333333333,0.5821666666666667,0.36253319563293007
