Replicate,Day,Well_Num,Culture,Q1_Scer,Scer_Stained,Scer_Dead_Num,Hgui_Dead_Num,Hgui_Alive_Num,Scer_Alive_Num,Total_Cells,Hgui_Alive_Total_Alive,Per_Hgui_Alive_Total_Alive,Scer_Alive_Total_Alive,Per_Scer_Alive_Total_Alive,Hgui_Dead_Total_Hgui,Per_Hgui_Dead_Total_Hgui,Scer_Dead_Total_Scer,Per_Scer_Dead_Total_Scer,Scer_Alive_Total_Scer,Per_Scer_Alive_Total_Scer,Hgui_Alive_Total_Hgui,Per_Hgui_Alive_Total_Hgui
1,5,F6,3920,208,2501,1477,20384,6907,1024,30000,0.8708863951582398,87.088639515823985,0.12911360484176018,12.911360484176019,0.7469129016892015,74.69129016892015,0.5452196382428941,54.52196382428941,0.37799926172019194,37.79992617201919,0.25308709831079845,25.308709831079845
1,5,D2,3852,267,5018,1733,16053,8662,3285,30000,0.7250355737842136,72.50355737842136,0.2749644262157864,27.496442621578637,0.6495245802144447,64.95245802144447,0.3279091769157994,32.79091769157994,0.6215704824976348,62.15704824976348,0.35047541978555535,35.047541978555536
1,5,E5,3852,97,2322,866,13914,13667,1456,30000,0.903722806321497,90.37228063214971,0.09627719367850295,9.627719367850295,0.5044777201696821,50.44777201696821,0.3579991732120711,35.79991732120711,0.6019016122364613,60.19016122364613,0.495522279830318,49.5522279830318
1,5,A6,3984,120,1174,451,10107,18599,723,30000,0.9625815133009006,96.25815133009006,0.037418486699099474,3.741848669909947,0.35208667177593533,35.20866717759353,0.34853168469860896,34.8531684698609,0.5587326120556414,55.87326120556414,0.6479133282240647,64.79133282240646
1,5,C3,3920,163,5573,1438,14807,9457,4135,30000,0.6957769276044732,69.57769276044732,0.30422307239552676,30.422307239552676,0.6102456313880646,61.024563138806464,0.250697350069735,25.0697350069735,0.7208856345885635,72.08856345885634,0.38975436861193535,38.975436861193536
2,7,A6,3852,5,13612,548,14569,1814,13064,30000,0.12192498991799973,12.192498991799972,0.8780750100820003,87.80750100820003,0.8892754684734175,88.92754684734176,0.04024381288095762,4.024381288095762,0.959388999045311,95.9388999045311,0.11072453152658243,11.072453152658243
2,5,A6,3852,22,6874,595,19817,3287,6279,30000,0.3436127953167468,34.36127953167468,0.6563872046832532,65.63872046832532,0.8577302631578947,85.77302631578947,0.08628190255220418,8.628190255220417,0.9105278422273781,91.05278422273781,0.14226973684210525,14.226973684210526
1,6,A6,3984,167,7466,725,8974,13393,6741,30000,0.6651932055229959,66.51932055229959,0.33480679447700407,33.4806794477004,0.4012160772566728,40.12160772566728,0.09498231363815014,9.498231363815014,0.8831390017031311,88.3139001703131,0.5987839227433273,59.878392274332725
2,6,A6,3852,12,10954,161,16576,2458,10793,30000,0.18549543430684476,18.549543430684476,0.8145045656931552,81.45045656931552,0.8708626668067668,87.08626668067669,0.014681743571037752,1.4681743571037753,0.9842239649826737,98.42239649826737,0.12913733319323317,12.913733319323317
1,7,A6,3984,199,8869,876,12472,8460,7993,30000,0.51419194067951135,51.41919406795113,0.48580805932048865,48.58080593204887,0.5958341295623925,59.58341295623924,0.09660344067048963,9.660344067048964,0.8814512571680635,88.14512571680635,0.4041658704376075,40.41658704376075
